,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
13987,2005-10-02,2005-10-08,NORDESTE,CEARA,GASOLINA COMUM,410,R$/l,2.6180000000000003,0.061,2.4,2.89,0.38,0.023,2.238,0.046,2.0348,2.3585,0.021
14013,2005-10-09,2005-10-15,NORDESTE,CEARA,GASOLINA COMUM,464,R$/l,2.614,0.059,2.4,2.89,0.371,0.023,2.243,0.049,1.97,2.449,0.022
14040,2005-10-16,2005-10-22,NORDESTE,CEARA,GASOLINA COMUM,438,R$/l,2.603,0.063,2.4,2.89,0.36,0.024,2.243,0.04,2.0989,2.401,0.018
14067,2005-10-23,2005-10-29,NORDESTE,CEARA,GASOLINA COMUM,444,R$/l,2.599,0.065,2.38,2.89,0.357,0.025,2.242,0.044,1.97,2.401,0.02
14094,2005-10-30,2005-11-05,NORDESTE,CEARA,GASOLINA COMUM,456,R$/l,2.588,0.068,2.38,2.89,0.344,0.026,2.244,0.039,2.14,2.402,0.017
14121,2005-11-06,2005-11-12,NORDESTE,CEARA,GASOLINA COMUM,452,R$/l,2.58,0.073,2.38,2.89,0.334,0.0279999999999999,2.246,0.038,2.14,2.394,0.017
14148,2005-11-13,2005-11-19,NORDESTE,CEARA,GASOLINA COMUM,464,R$/l,2.568,0.078,2.36,2.89,0.324,0.03,2.244,0.039,2.14,2.3675,0.017
14175,2005-11-20,2005-11-26,NORDESTE,CEARA,GASOLINA COMUM,273,R$/l,2.5660000000000003,0.092,2.36,2.89,0.317,0.036,2.249,0.041,2.14,2.3695,0.018
14202,2005-11-27,2005-12-03,NORDESTE,CEARA,GASOLINA COMUM,268,R$/l,2.559,0.095,2.36,2.89,0.307,0.037,2.252,0.041,2.14,2.3695,0.018
14229,2005-12-04,2005-12-10,NORDESTE,CEARA,GASOLINA COMUM,290,R$/l,2.548,0.091,2.36,2.85,0.296,0.036,2.252,0.041,2.14,2.3696,0.018
14256,2005-12-11,2005-12-17,NORDESTE,CEARA,GASOLINA COMUM,460,R$/l,2.545,0.083,2.36,2.85,0.298,0.033,2.247,0.039,2.14,2.3696,0.017
14283,2005-12-18,2005-12-24,NORDESTE,CEARA,GASOLINA COMUM,464,R$/l,2.542,0.084,2.36,2.85,0.302,0.033,2.24,0.039,2.14,2.3623,0.017
14310,2005-12-25,2005-12-31,NORDESTE,CEARA,GASOLINA COMUM,462,R$/l,2.527,0.091,2.36,2.85,0.283,0.036,2.244,0.038,2.1181,2.3696,0.017
14337,2006-01-01,2006-01-07,NORDESTE,CEARA,GASOLINA COMUM,456,R$/l,2.527,0.092,2.36,2.85,0.284,0.036,2.243,0.039,2.1181,2.3722,0.017
14364,2006-01-08,2006-01-14,NORDESTE,CEARA,GASOLINA COMUM,403,R$/l,2.526,0.103,2.36,2.886,0.279,0.0409999999999999,2.247,0.048,2.14,2.4087,0.021
14391,2006-01-15,2006-01-21,NORDESTE,CEARA,GASOLINA COMUM,469,R$/l,2.526,0.107,2.36,2.886,0.253,0.042,2.273,0.047,2.14,2.3961,0.021
14418,2006-01-22,2006-01-28,NORDESTE,CEARA,GASOLINA COMUM,466,R$/l,2.66,0.054,2.36,2.886,0.388,0.02,2.272,0.045,2.14,2.3961,0.02
14445,2006-01-29,2006-02-04,NORDESTE,CEARA,GASOLINA COMUM,463,R$/l,2.655,0.0579999999999999,2.32,2.886,0.385,0.022,2.27,0.043,2.14,2.3961,0.019
14472,2006-02-05,2006-02-11,NORDESTE,CEARA,GASOLINA COMUM,277,R$/l,2.659,0.066,2.36,2.88,0.387,0.025,2.272,0.044,2.14,2.417,0.019
14499,2006-02-12,2006-02-18,NORDESTE,CEARA,GASOLINA COMUM,289,R$/l,2.658,0.063,2.36,2.88,0.373,0.024,2.285,0.046,2.14,2.4109,0.02
14526,2006-02-19,2006-02-25,NORDESTE,CEARA,GASOLINA COMUM,285,R$/l,2.659,0.063,2.36,2.88,0.374,0.024,2.285,0.046,2.14,2.429,0.02
14553,2006-02-26,2006-03-04,NORDESTE,CEARA,GASOLINA COMUM,284,R$/l,2.661,0.068,2.45,2.92,0.368,0.026,2.293,0.051,2.14,2.429,0.022
14580,2006-03-05,2006-03-11,NORDESTE,CEARA,GASOLINA COMUM,301,R$/l,2.722,0.095,2.45,2.93,0.383,0.035,2.339,0.064,2.14,2.4909,0.027
14607,2006-03-12,2006-03-18,NORDESTE,CEARA,GASOLINA COMUM,301,R$/l,2.762,0.069,2.55,2.93,0.396,0.025,2.366,0.058,2.14,2.496,0.025
14634,2006-03-19,2006-03-25,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.759,0.067,2.55,2.93,0.39,0.024,2.369,0.052,2.14,2.496,0.022
14661,2006-03-26,2006-04-01,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.757,0.066,2.55,2.93,0.388,0.024,2.369,0.046,2.222,2.496,0.019
14688,2006-04-02,2006-04-08,NORDESTE,CEARA,GASOLINA COMUM,297,R$/l,2.754,0.069,2.55,2.93,0.38,0.025,2.374,0.047,2.222,2.496,0.02
14715,2006-04-09,2006-04-15,NORDESTE,CEARA,GASOLINA COMUM,300,R$/l,2.748,0.07,2.55,2.93,0.37,0.025,2.378,0.047,2.222,2.496,0.02
14742,2006-04-16,2006-04-22,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.748,0.071,2.55,2.93,0.376,0.026,2.372,0.045,2.222,2.496,0.019
14769,2006-04-23,2006-04-29,NORDESTE,CEARA,GASOLINA COMUM,303,R$/l,2.742,0.073,2.55,2.93,0.366,0.027,2.376,0.043,2.222,2.496,0.018
14796,2006-04-30,2006-05-06,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.741,0.074,2.55,2.93,0.364,0.027,2.377,0.043,2.2894,2.496,0.018
14823,2006-05-07,2006-05-13,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.71,0.086,2.55,2.99,0.335,0.032,2.375,0.042,2.2894,2.496,0.018
14850,2006-05-14,2006-05-20,NORDESTE,CEARA,GASOLINA COMUM,303,R$/l,2.632,0.134,2.449,2.93,0.261,0.051,2.371,0.042,2.2861,2.496,0.018
14877,2006-05-21,2006-05-27,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.5860000000000003,0.156,2.389,2.93,0.236,0.06,2.35,0.043,2.283,2.496,0.018
14904,2006-05-28,2006-06-03,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.548,0.175,2.35,2.93,0.213,0.069,2.335,0.049,2.2582,2.496,0.021
14931,2006-06-04,2006-06-10,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.607,0.173,2.27,2.93,0.29,0.066,2.317,0.055,2.1686,2.496,0.024
14958,2006-06-11,2006-06-17,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.758,0.07,2.55,2.93,0.436,0.025,2.322,0.051,2.197,2.496,0.022
14985,2006-06-18,2006-06-24,NORDESTE,CEARA,GASOLINA COMUM,302,R$/l,2.756,0.073,2.49,2.99,0.41,0.026,2.346,0.046,2.25,2.496,0.02
15012,2006-06-25,2006-07-01,NORDESTE,CEARA,GASOLINA COMUM,303,R$/l,2.758,0.07,2.55,2.93,0.408,0.025,2.35,0.043,2.25,2.496,0.018
15039,2006-07-02,2006-07-08,NORDESTE,CEARA,GASOLINA COMUM,319,R$/l,2.7510000000000003,0.071,2.55,2.93,0.4,0.026,2.351,0.042,2.25,2.49,0.018
15066,2006-07-09,2006-07-15,NORDESTE,CEARA,GASOLINA COMUM,319,R$/l,2.759,0.069,2.55,2.93,0.412,0.025,2.347,0.041,2.265,2.496,0.017
15093,2006-07-16,2006-07-22,NORDESTE,CEARA,GASOLINA COMUM,317,R$/l,2.758,0.066,2.6,2.94,0.407,0.024,2.351,0.042,2.2015,2.496,0.018
15120,2006-07-23,2006-07-29,NORDESTE,CEARA,GASOLINA COMUM,314,R$/l,2.762,0.068,2.58,2.94,0.416,0.025,2.346,0.043,2.2015,2.496,0.018
15147,2006-07-30,2006-08-05,NORDESTE,CEARA,GASOLINA COMUM,315,R$/l,2.753,0.066,2.58,2.94,0.408,0.024,2.345,0.044,2.2015,2.496,0.019
15174,2006-08-06,2006-08-12,NORDESTE,CEARA,GASOLINA COMUM,317,R$/l,2.753,0.067,2.58,2.94,0.414,0.024,2.339,0.044,2.26,2.496,0.019
15201,2006-08-13,2006-08-19,NORDESTE,CEARA,GASOLINA COMUM,318,R$/l,2.75,0.066,2.58,2.94,0.402,0.024,2.348,0.039,2.2699,2.496,0.017
15228,2006-08-20,2006-08-26,NORDESTE,CEARA,GASOLINA COMUM,319,R$/l,2.747,0.064,2.6,2.94,0.4,0.023,2.347,0.04,2.27,2.496,0.017
15255,2006-08-27,2006-09-02,NORDESTE,CEARA,GASOLINA COMUM,319,R$/l,2.7430000000000003,0.07,2.58,2.94,0.387,0.026,2.356,0.04,2.27,2.496,0.017
15282,2006-09-03,2006-09-09,NORDESTE,CEARA,GASOLINA COMUM,319,R$/l,2.7430000000000003,0.068,2.58,2.94,0.397,0.025,2.346,0.041,2.27,2.496,0.017
15309,2006-09-10,2006-09-16,NORDESTE,CEARA,GASOLINA COMUM,319,R$/l,2.738,0.066,2.58,2.94,0.389,0.024,2.349,0.038,2.2699,2.496,0.016
15336,2006-09-17,2006-09-23,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.7430000000000003,0.063,2.58,2.94,0.405,0.023,2.338,0.039,2.25,2.496,0.017
15363,2006-09-24,2006-09-30,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.734,0.066,2.58,2.94,0.397,0.024,2.337,0.039,2.25,2.496,0.017
15390,2006-10-01,2006-10-07,NORDESTE,CEARA,GASOLINA COMUM,303,R$/l,2.737,0.064,2.58,2.94,0.405,0.023,2.332,0.04,2.25,2.496,0.017
15417,2006-10-08,2006-10-14,NORDESTE,CEARA,GASOLINA COMUM,277,R$/l,2.729,0.069,2.58,2.94,0.391,0.025,2.338,0.038,2.2435,2.496,0.016
15444,2006-10-15,2006-10-21,NORDESTE,CEARA,GASOLINA COMUM,275,R$/l,2.715,0.073,2.58,2.94,0.386,0.027,2.329,0.043,2.2389,2.496,0.018
15471,2006-10-22,2006-10-28,NORDESTE,CEARA,GASOLINA COMUM,277,R$/l,2.704,0.078,2.58,2.94,0.373,0.0289999999999999,2.331,0.043,2.2295,2.496,0.018
15498,2006-10-29,2006-11-04,NORDESTE,CEARA,GASOLINA COMUM,277,R$/l,2.699,0.08,2.58,2.94,0.382,0.03,2.317,0.045,2.2295,2.496,0.019
15525,2006-11-05,2006-11-11,NORDESTE,CEARA,GASOLINA COMUM,277,R$/l,2.696,0.081,2.58,2.94,0.377,0.03,2.319,0.046,2.2265,2.496,0.02
15552,2006-11-12,2006-11-18,NORDESTE,CEARA,GASOLINA COMUM,277,R$/l,2.692,0.0819999999999999,2.58,2.94,0.379,0.03,2.313,0.045,2.217,2.496,0.019
15579,2006-11-19,2006-11-25,NORDESTE,CEARA,GASOLINA COMUM,280,R$/l,2.679,0.087,2.58,2.93,0.372,0.032,2.307,0.049,2.19,2.4769,0.021
15606,2006-11-26,2006-12-02,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.667,0.093,2.58,2.93,0.389,0.035,2.278,0.049,2.2,2.4769,0.022
15633,2006-12-03,2006-12-09,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.662,0.096,2.55,2.93,0.376,0.036,2.286,0.047,2.16,2.4769,0.021
15660,2006-12-10,2006-12-16,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.659,0.089,2.55,2.93,0.393,0.033,2.266,0.05,2.1915,2.4419,0.022
15687,2006-12-17,2006-12-23,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.656,0.091,2.55,2.93,0.38,0.034,2.276,0.049,2.1915,2.461,0.022
15714,2006-12-24,2006-12-30,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.655,0.092,2.5,2.93,0.392,0.035,2.263,0.051,2.1599,2.461,0.023
15741,2006-12-31,2007-01-06,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.654,0.093,2.55,2.93,0.398,0.035,2.256,0.052,2.167,2.4419,0.023
15768,2007-01-07,2007-01-13,NORDESTE,CEARA,GASOLINA COMUM,283,R$/l,2.653,0.092,2.55,2.93,0.4,0.035,2.253,0.054,2.1385,2.4119,0.024
15795,2007-01-14,2007-01-20,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.652,0.093,2.55,2.93,0.397,0.035,2.255,0.052,2.1385,2.4419,0.023
15822,2007-01-21,2007-01-27,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.649,0.094,2.55,2.93,0.395,0.035,2.254,0.05,2.1385,2.4419,0.022
15849,2007-01-28,2007-02-03,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.649,0.095,2.55,2.93,0.391,0.036,2.258,0.055,2.1385,2.461,0.024
15876,2007-02-04,2007-02-10,NORDESTE,CEARA,GASOLINA COMUM,281,R$/l,2.648,0.095,2.55,2.93,0.402,0.036,2.246,0.054,2.1385,2.461,0.024
15903,2007-02-11,2007-02-17,NORDESTE,CEARA,GASOLINA COMUM,282,R$/l,2.648,0.0969999999999999,2.55,2.96,0.398,0.037,2.25,0.052,2.1567,2.4419,0.023
